PROBLEM,DIMENSION,derivative_type,start.pt ID,k_exp,fd_strategy,grad.norm,iters/max,success,rate(exp),time(s)
83,2,Exact,0,N/A,N/A,3.24e-10,4/1000,yes,-0.63,0.01
83,2,Exact,1,N/A,N/A,5.94e-10,3/1000,yes,2.22,0.01
83,2,Exact,2,N/A,N/A,3.61e-07,3/1000,yes,3.54,0.01
83,2,Exact,3,N/A,N/A,3.21e-08,4/1000,yes,-0.54,0.01
83,2,Exact,4,N/A,N/A,3.86e-09,3/1000,yes,2.27,0.01
83,2,Exact,5,N/A,N/A,5.25e-07,3/1000,yes,2.64,0.01
,,,"Avg (successes)",,,,1.54e-07,3.3/1000,,1.58,0.01
,,,,,,,,,,
83,2,FD,0,12,component-wise,4.41e-07,5/1000,yes,0.91,0.00
83,2,FD,1,12,component-wise,4.55e-07,4/1000,yes,1.38,0.00
83,2,FD,2,12,component-wise,6.98e-08,5/1000,yes,1.24,0.00
83,2,FD,3,12,component-wise,4.97e-07,5/1000,yes,0.78,0.00
83,2,FD,4,12,component-wise,5.25e-07,4/1000,yes,1.47,0.00
83,2,FD,5,12,component-wise,4.52e-07,4/1000,yes,1.44,0.00
,,,"Avg (successes)",,,,4.07e-07,4.5/1000,,1.20,0.00
,,,,,,,,,,
83,2,FD,0,12,constant,6.33e-07,7/1000,yes,1.00,0.00
83,2,FD,1,12,constant,6.41e-07,6/1000,yes,1.00,0.00
83,2,FD,2,12,constant,1.55e-07,7/1000,yes,1.00,0.00
83,2,FD,3,12,constant,1.15e-07,8/1000,yes,1.00,0.00
83,2,FD,4,12,constant,8.80e-07,6/1000,yes,1.00,0.00
83,2,FD,5,12,constant,1.85e-07,7/1000,yes,1.00,0.00
,,,"Avg (successes)",,,,4.35e-07,6.8/1000,,1.00,0.00
,,,,,,,,,,
83,2,FD,0,4,component-wise,4.40e-07,5/1000,yes,0.91,0.04
83,2,FD,1,4,component-wise,4.54e-07,4/1000,yes,1.38,0.03
83,2,FD,2,4,component-wise,6.96e-08,5/1000,yes,1.24,0.04
83,2,FD,3,4,component-wise,4.96e-07,5/1000,yes,0.78,0.04
83,2,FD,4,4,component-wise,5.24e-07,4/1000,yes,1.47,0.04
83,2,FD,5,4,component-wise,4.75e-07,4/1000,yes,1.43,0.04
,,,"Avg (successes)",,,,4.10e-07,4.5/1000,,1.20,0.04
,,,,,,,,,,
83,2,FD,0,4,constant,6.32e-07,7/1000,yes,1.00,0.00
83,2,FD,1,4,constant,6.40e-07,6/1000,yes,1.00,0.00
83,2,FD,2,4,constant,1.54e-07,7/1000,yes,1.00,0.00
83,2,FD,3,4,constant,1.15e-07,8/1000,yes,1.00,0.00
83,2,FD,4,4,constant,8.78e-07,6/1000,yes,1.00,0.00
83,2,FD,5,4,constant,1.85e-07,7/1000,yes,1.00,0.00
,,,"Avg (successes)",,,,4.34e-07,6.8/1000,,1.00,0.00
,,,,,,,,,,
83,2,FD,0,8,component-wise,4.41e-07,5/1000,yes,0.91,0.04
83,2,FD,1,8,component-wise,4.55e-07,4/1000,yes,1.38,0.03
83,2,FD,2,8,component-wise,6.98e-08,5/1000,yes,1.24,0.00
83,2,FD,3,8,component-wise,4.97e-07,5/1000,yes,0.78,0.00
83,2,FD,4,8,component-wise,5.25e-07,4/1000,yes,1.47,0.00
83,2,FD,5,8,component-wise,4.52e-07,4/1000,yes,1.44,0.00
,,,"Avg (successes)",,,,4.07e-07,4.5/1000,,1.20,0.01
,,,,,,,,,,
83,2,FD,0,8,constant,6.33e-07,7/1000,yes,1.00,0.00
